40100010,C.E. DEPENDENCIAS,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,MONTEVIDEO,"Av. Monteviedo no. 57 y 63, col. Tepeyac Insurgentes, CP 07020, del. Gustavo A. Madero, México D.F."
40100011,C.E. TECAMACHALCO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SALINILLAS,"Presa Salinillas # 370 Piso 9 int. 901 y 903, col. Irrigación, CP 11500, del. Miguel Hidalgo, México D.F. "
40100012,C.E. BOULEVARES,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,TLALNEPANTLA,"Av. Gustavo Baz # 230 Locales 101 al 111, col. Tequexquinahuac, Tlalnepantla de Baz, CP 54020,  Edo. de México"
40100013,C.E. VALLE ORIENTE,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,MONTERREY RETENCION,"Juan Ignacio Ramón 801 Ote, Int. 103 Esquina Dr. Coss, Col. Centro, CP 64000 Monterrey, N.L."
40100014,C.E. OCAMPO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,LEON,"Boulevard Vasco de Quiroga no. 101, esq. Blvd. Adolfo López Mateos, col. Los Gavilanes, CP37270, León Gto. "
45000092,C.E. ELITE,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SAN ANGEL,"AV. INSURGENTES SUR No. 2047 LOCAL J, I  PISO 1 COL. SAN ANGEL, DELEG. ALVARO OBREGÓN C.P. 01000 MÉX, D.F."
40100001,C.E. ISSSTE,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SAN ANGEL,"AV. INSURGENTES SUR No. 2047 LOCAL J, I  PISO 1 COL. SAN ANGEL, DELEG. ALVARO OBREGÓN C.P. 01000 MÉX, D.F."
40100099,REGIONAL DE CUENTAS ESPECIALES,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,CORPORATIVO,"Blvd. Adolfo López Mateos 2009, PISO 8  col. Los Alpes, CP 01010, del. Álvaro Obregón, México D.F."
44091070,ACAPULCO,REGIONAL ISSSTE,DIRECCION REGIONAL DE NEGOCIOS DE GOBIERNO Y PENSIONES,AFORE,ACAPULCO,"Av. Costera Miguel Alemán 87 cond. La Torre de Acapulco l – 17, Fracc. Club Deportivo, CP 39690, Acapulco Gro."
47102170,ECATEPEC,REGIONAL ISSSTE,DIRECCION REGIONAL DE NEGOCIOS DE GOBIERNO Y PENSIONES,AFORE,MONTEVIDEO,"Av. Monteviedo no. 57 y 63, col. Tepeyac Insurgentes, CP 07020, del. Gustavo A. Madero, México D.F."
40007000,PEDREGAL,REGIONAL ISSSTE,DIRECCION REGIONAL DE NEGOCIOS DE GOBIERNO Y PENSIONES,AFORE,VIADUCTO,"Insurgentes Sur 546, col. Roma Sur, CP 06760, del. Cuauhtemoc, México D.F."
44091780,VALLE,REGIONAL ISSSTE,DIRECCION REGIONAL DE NEGOCIOS DE GOBIERNO Y PENSIONES,AFORE,VIADUCTO,"Insurgentes Sur 546, col. Roma Sur, CP 06760, del. Cuauhtemoc, México D.F."
